COMUNAS_ZONAS_DESCRIPCION,LATITUD_Y,LONGITUD_X,n
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.60320714,-74.0722746,1
UPZ No. 14 USAQUEN ENO REPORTADO1,4.702439552,-74.0283247,1
UPZ No. 75 FONTIBON ENO REPORTADO9,4.666344488,-74.12429145,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.60312751,-74.07911501,1
UPZ No. 84 BOSA OCCIDENTAL ENO REPORTADO7,4.606893575,-74.06550548,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.602389031,-74.07483879,1
UPZ No. 88 EL REFUGIO ENO REPORTADO2,4.664835301,-74.05137483,1
No registra,4.688340925,-74.04749713,1
No registra,4.688337503,-74.1451206,1
No registra,4.6881060807,-74.1291264925,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.596309328,-74.06967822,1
No registra,4.667001113,-74.05487988,1
No registra,4.6670830818,-74.0526144608,1
No registra,4.6671812482,-74.0565198678,1
No registra,4.66745292,-74.05318918,1
No registra,4.6674548893,-74.053224,1
No registra,4.667524206,-74.05472374,1
No registra,4.667599171,-74.07849646,1
No registra,4.6677017151,-74.0515677767,1
No registra,4.685344222,-74.03547588,1
No registra,4.667881491,-74.05290892,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.596298634,-74.07046143,1
No registra,4.668132941,-74.05200986,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59611644,-74.07212517,1
No registra,4.66827201,-74.05262471,1
No registra,4.668868814,-74.05399344,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59604197,-74.0715844,1
No registra,4.666630456,-74.05305136,1
No registra,4.666526992,-74.05274889,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.596773259,-74.07614669,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.596822838,-74.07499154,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597769103,-74.07597068,1
No registra,4.6577867691,-74.060405,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601800457,-74.07251677,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597474619,-74.07325706,1
No registra,4.658687418,-74.05534717,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597307993,-74.07369109,1
No registra,4.659386599,-74.10836682,1
No registra,4.6651568176,-74.050178,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597263406,-74.07363257,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597149962,-74.06982767,1
No registra,4.665427601,-74.05016781,1
No registra,4.665468357,-74.05231437,1
No registra,4.6658109428,-74.0527479086,1
No registra,4.665992328,-74.05529163,1
No registra,4.666011576,-74.05011996,1
No registra,4.6690230771,-74.0542204291,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.596031276,-74.07211367,1
No registra,4.6693532227,-74.0539825731,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.595090173,-74.07843295,1
No registra,4.677102557,-74.0908791748,1
No registra,4.6230470355,-74.0753127866,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.594841139,-74.07372377,1
No registra,4.6776626042,-74.0489724058,1
No registra,4.677851074,-74.05363938,1
No registra,4.677932935,-74.05403757,1
No registra,4.6788600485,-74.049513,1
No registra,4.679526432,-74.04389395,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.594306421,-74.07296202,1
No registra,4.680420546,-74.0536072,1
No registra,4.6804470326,-74.07195,1
No registra,4.680495694,-74.04756243,1
No registra,4.683145903,-74.04481986,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.593678518,-74.06953875,1
No registra,4.6847012587,-74.0422060477,1
No registra,4.6767604806,-74.048303,1
No registra,4.6750419565,-74.044369,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.596023255,-74.07198485,1
No registra,4.674872719,-74.04562951,1
No registra,4.669772147,-74.05519365,1
No registra,4.669886809,-74.05518622,1
No registra,4.670317746,-74.04863975,1
No registra,4.671547487,-74.13794561,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.595892249,-74.06992498,1
